drugbank_id	target_id	target_name	target_organism	swissprot_id	gene_name	cellular_location
DB00005	BE0002100	Low affinity immunoglobulin gamma Fc region receptor II-c	Human	P31995	FCGR2C	Cell membrane
DB00005	BE0001087	Lymphotoxin-alpha	Human	P01374	LTA	Homotrimer:Secreted protein. Heterotrimer:Membrane
DB00005	BE0000901	Low affinity immunoglobulin gamma Fc region receptor III-B	Human	O75015	FCGR3B	Cell membrane; lipid-anchor; GPI-anchor. Secreted protein. Note=Secreted after cleavage
DB00005	BE0001529	Complement C1s subcomponent	Human	P09871	C1S	Cytoplasmic
DB00005	BE0002093	Complement C1r subcomponent	Human	P00736	C1R	Cytoplasmic
DB00005	BE0002094	Complement C1q subcomponent subunit A	Human	P02745	C1QA	Secreted protein
DB00005	BE0002095	Complement C1q subcomponent subunit B	Human	P02746	C1QB	Secreted protein
DB00005	BE0002096	Complement C1q subcomponent subunit C	Human	P02747	C1QC	Secreted protein
DB00006	BE0000048	Prothrombin	Human	P00734	F2	Secreted protein; extracellular space
DB00007	BE0000203	Gonadotropin-releasing hormone receptor	Human	P30968	GNRHR	Membrane; multi-pass membrane protein
DB00008	BE0000385	Interferon alpha/beta receptor 2	Human	P48551	IFNAR2	Membrane; single-pass type I membrane protein
DB00008	BE0000661	Interferon alpha/beta receptor 1	Human	P17181	IFNAR1	Membrane; single-pass type I membrane protein
DB00009	BE0000211	Plasminogen	Human	P00747	PLG	Secreted protein
DB00009	BE0000538	Fibrinogen alpha chain	Human	P02671	FGA	Secreted protein
DB00009	BE0000717	Urokinase plasminogen activator surface receptor	Human	Q03405	PLAUR	Isoform 1:Cell membrane; lipid-anchor; GPI- anchor. Isoform 2:Secreted protein (Probable)
DB00009	BE0000240	Plasminogen activator inhibitor 1	Human	P05121	SERPINE1	Secreted protein
DB00010	BE0000625	Growth hormone-releasing hormone receptor	Human	Q02643	GHRHR	Membrane; multi-pass membrane protein
DB00011	BE0000385	Interferon alpha/beta receptor 2	Human	P48551	IFNAR2	Membrane; single-pass type I membrane protein
DB00011	BE0000661	Interferon alpha/beta receptor 1	Human	P17181	IFNAR1	Membrane; single-pass type I membrane protein
DB00012	BE0000654	Erythropoietin receptor	Human	P19235	EPOR	Cell membrane; single-pass type I membrane protein. Isoform EPOR-S:Secreted protein. Isoform EPOR-S 
DB00013	BE0000211	Plasminogen	Human	P00747	PLG	Secreted protein
DB00013	BE0000717	Urokinase plasminogen activator surface receptor	Human	Q03405	PLAUR	Isoform 1:Cell membrane; lipid-anchor; GPI- anchor. Isoform 2:Secreted protein (Probable)
DB00013	BE0000895	Urokinase-type plasminogen activator	Human	P00749	PLAU	Secreted protein
DB00013	BE0001088	Tissue-type plasminogen activator	Human	P00750	PLAT	Secreted protein; extracellular space
DB00013	BE0000240	Plasminogen activator inhibitor 1	Human	P05121	SERPINE1	Secreted protein
DB00013	BE0000969	Plasminogen activator inhibitor 2	Human	P05120	SERPINB2	Cytoplasm. Secreted protein; extracellular space
DB00013	BE0002112	Plasma serine protease inhibitor	Human	P05154	SERPINA5	Secreted protein
DB00013	BE0000942	Low-density lipoprotein receptor-related protein 2	Human	P98164	LRP2	Membrane; single-pass type I membrane protein
DB00013	BE0001656	Suppressor of tumorigenicity 14 protein	Human	Q9Y5Y6	ST14	Membrane; single-pass type II membrane protein (Probable)
DB00013	BE0002113	Nidogen-1	Human	P14543	NID1	Secreted protein
DB00014	BE0000134	Lutropin-choriogonadotropic hormone receptor	Human	P22888	LHCGR	Membrane; multi-pass membrane protein
DB00014	BE0000203	Gonadotropin-releasing hormone receptor	Human	P30968	GNRHR	Membrane; multi-pass membrane protein
DB00015	BE0000211	Plasminogen	Human	P00747	PLG	Secreted protein
DB00015	BE0000538	Fibrinogen alpha chain	Human	P02671	FGA	Secreted protein
DB00015	BE0000717	Urokinase plasminogen activator surface receptor	Human	Q03405	PLAUR	Isoform 1:Cell membrane; lipid-anchor; GPI- anchor. Isoform 2:Secreted protein (Probable)
DB00015	BE0000240	Plasminogen activator inhibitor 1	Human	P05121	SERPINE1	Secreted protein
DB00016	BE0000654	Erythropoietin receptor	Human	P19235	EPOR	Cell membrane; single-pass type I membrane protein. Isoform EPOR-S:Secreted protein. Isoform EPOR-S 
DB00017	BE0000431	Calcitonin receptor	Human	P30988	CALCR	Membrane; multi-pass membrane protein
DB00018	BE0000661	Interferon alpha/beta receptor 1	Human	P17181	IFNAR1	Membrane; single-pass type I membrane protein
DB00018	BE0000385	Interferon alpha/beta receptor 2	Human	P48551	IFNAR2	Membrane; single-pass type I membrane protein
DB00019	BE0000793	Granulocyte colony-stimulating factor receptor	Human	Q99062	CSF3R	Cell membrane; single-pass type I membrane protein. Isoform GCSFR2:Secreted protein (Probable). Isof
DB00019	BE0000394	Neutrophil elastase	Human	P08246	ELANE	Cytoplasmic
DB00020	BE0000628	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	Human	P15509	CSF2RA	Cell membrane; single-pass type I membrane protein. Isoform 3:Secreted protein (Probable) protein. I
DB00020	BE0001036	Interleukin-3 receptor subunit alpha	Human	P26951	IL3RA	Membrane; single-pass type I membrane protein
DB00020	BE0002115	Cytokine receptor common subunit beta	Human	P32927	CSF2RB	Membrane
DB00020	BE0002116	Syndecan-2	Human	P34741	SDC2	Membrane
DB00020	BE0002114	Bone marrow proteoglycan	Human	P13727	PRG2	Note=The proform is secreted
DB00021	BE0000318	Secretin receptor	Human	P47872	SCTR	Membrane; multi-pass membrane protein
DB00022	BE0000661	Interferon alpha/beta receptor 1	Human	P17181	IFNAR1	Membrane; single-pass type I membrane protein
DB00022	BE0000385	Interferon alpha/beta receptor 2	Human	P48551	IFNAR2	Membrane; single-pass type I membrane protein
DB00024	BE0000490	Thyrotropin receptor	Human	P16473	TSHR	Membrane; multi-pass membrane protein
DB00025	BE0000216	Coagulation factor X	Human	P00742	F10	Cytoplasmic
DB00025	BE0000364	Coagulation factor IX	Human	P00740	F9	Secreted protein
DB00025	BE0001043	von Willebrand factor	Human	P04275	VWF	Secreted protein. Note=Localized to storage granules
DB00025	BE0002117	Phytanoyl-CoA dioxygenase, peroxisomal	Human	O14832	PHYH	Peroxisome
DB00025	BE0002118	Asialoglycoprotein receptor 2	Human	P07307	ASGR2	Membrane
DB00025	BE0001098	78 kDa glucose-regulated protein	Human	P11021	HSPA5	Endoplasmic reticulum; endoplasmic reticulum lumen. Melanosome. Note=Identified by mass spectrometry
DB00025	BE0002109	Calreticulin	Human	P27797	CALR	Endoplasmic reticulum
DB00025	BE0001011	Calnexin	Human	P27824	CANX	Endoplasmic reticulum; endoplasmic reticulum membrane; single-pass type I membrane protein. Melanoso
DB00025	BE0002119	Protein ERGIC-53	Human	P49257	LMAN1	Endoplasmic reticulum-Golgi intermediate compartment
DB00025	BE0002110	Prolow-density lipoprotein receptor-related protein 1	Human	Q07954	LRP1	Cell membrane
DB00025	BE0002120	Multiple coagulation factor deficiency protein 2	Human	Q8NI22	MCFD2	Endoplasmic reticulum-Golgi intermediate compartment
DB00026	BE0000565	Interleukin-1 receptor type 1	Human	P14778	IL1R1	Membrane; single-pass type I membrane protein
DB00028	BE0000710	High affinity immunoglobulin gamma Fc receptor I	Human	P12314	FCGR1A	Membrane; single-pass type I membrane protein
DB00028	BE0004684	High affinity immunoglobulin gamma Fc receptor IB	Human	Q92637	FCGR1B	
DB00028	BE0002098	Low affinity immunoglobulin gamma Fc region receptor II-a	Human	P12318	FCGR2A	Membrane
DB00028	BE0002099	Low affinity immunoglobulin gamma Fc region receptor II-b	Human	P31994	FCGR2B	Membrane
DB00028	BE0002100	Low affinity immunoglobulin gamma Fc region receptor II-c	Human	P31995	FCGR2C	Cell membrane
DB00028	BE0002097	Low affinity immunoglobulin gamma Fc region receptor III-A	Human	P08637	FCGR3A	Cell membrane
DB00028	BE0000901	Low affinity immunoglobulin gamma Fc region receptor III-B	Human	O75015	FCGR3B	Cell membrane; lipid-anchor; GPI-anchor. Secreted protein. Note=Secreted after cleavage
DB00028	BE0003455	Complement C3	Human	P01024	C3	Secreted
DB00028	BE0004685	Complement C4-A	Human	P0C0L4	C4A	
DB00028	BE0004686	Complement C4-B	Human	P0C0L5	C4B	
DB00028	BE0000855	Complement C5	Human	P01031	C5	
DB00029	BE0000211	Plasminogen	Human	P00747	PLG	Secreted protein
DB00029	BE0000538	Fibrinogen alpha chain	Human	P02671	FGA	Secreted protein
DB00029	BE0000717	Urokinase plasminogen activator surface receptor	Human	Q03405	PLAUR	Isoform 1:Cell membrane; lipid-anchor; GPI- anchor. Isoform 2:Secreted protein (Probable)
DB00029	BE0000240	Plasminogen activator inhibitor 1	Human	P05121	SERPINE1	Secreted protein
DB00030	BE0000033	Insulin receptor	Human	P06213	INSR	Membrane; single-pass type I membrane protein
DB00030	BE0000858	Insulin-like growth factor 1 receptor	Human	P08069	IGF1R	Membrane; single-pass type I membrane protein
DB00030	BE0002123	Retinoblastoma-associated protein	Human	P06400	RB1	Nucleus
DB00030	BE0000941	Cathepsin D	Human	P07339	CTSD	Lysosome. Melanosome. Note=Identified by mass spectrometry in melanosome fractions from stage I to s
DB00030	BE0001183	Insulin-degrading enzyme	Human	P14735	IDE	Cytoplasm
DB00030	BE0002124	Neuroendocrine convertase 2	Human	P16519	PCSK2	Cytoplasmic vesicle
DB00030	BE0001123	Carboxypeptidase E	Human	P16870	CPE	Secreted protein. Note=Secretory granules of pancreatic islets, adrenal gland, pituitary and brain
DB00030	BE0002125	Neuroendocrine convertase 1	Human	P29120	PCSK1	Cytoplasmic vesicle
DB00030	BE0001147	Protein NOV homolog	Human	P48745	NOV	Secreted protein
DB00030	BE0000942	Low-density lipoprotein receptor-related protein 2	Human	P98164	LRP2	Membrane; single-pass type I membrane protein
DB00030	BE0002126	Insulin-like growth factor-binding protein 7	Human	Q16270	IGFBP7	Secreted protein
DB00030	BE0002127	Synaptotagmin-like protein 4	Human	Q96C24	SYTL4	Membrane
DB00031	BE0000211	Plasminogen	Human	P00747	PLG	Secreted protein
DB00031	BE0000538	Fibrinogen alpha chain	Human	P02671	FGA	Secreted protein
DB00031	BE0000717	Urokinase plasminogen activator surface receptor	Human	Q03405	PLAUR	Isoform 1:Cell membrane; lipid-anchor; GPI- anchor. Isoform 2:Secreted protein (Probable)
DB00031	BE0000240	Plasminogen activator inhibitor 1	Human	P05121	SERPINE1	Secreted protein
DB00031	BE0000969	Plasminogen activator inhibitor 2	Human	P05120	SERPINB2	Cytoplasm. Secreted protein; extracellular space
DB00031	BE0002104	Tetranectin	Human	P05452	CLEC3B	Secreted protein
DB00031	BE0002105	Keratin, type II cytoskeletal 8	Human	P05787	KRT8	
DB00031	BE0001170	Annexin A2	Human	P07355	ANXA2	Secreted protein; extracellular space; extracellular matrix; basement membrane. Melanosome. Note=In 
DB00031	BE0002109	Calreticulin	Human	P27797	CALR	Endoplasmic reticulum
DB00031	BE0001011	Calnexin	Human	P27824	CANX	Endoplasmic reticulum; endoplasmic reticulum membrane; single-pass type I membrane protein. Melanoso
DB00031	BE0002110	Prolow-density lipoprotein receptor-related protein 1	Human	Q07954	LRP1	Cell membrane
DB00032	BE0000387	Follicle-stimulating hormone receptor	Human	P23945	FSHR	Membrane; multi-pass membrane protein
DB00032	BE0000134	Lutropin-choriogonadotropic hormone receptor	Human	P22888	LHCGR	Membrane; multi-pass membrane protein
DB00033	BE0000711	Interferon gamma receptor 1	Human	P15260	IFNGR1	Membrane; single-pass type I membrane protein
DB00033	BE0000467	Interferon gamma receptor 2	Human	P38484	IFNGR2	Membrane; single-pass type I membrane protein
DB00034	BE0000661	Interferon alpha/beta receptor 1	Human	P17181	IFNAR1	Membrane; single-pass type I membrane protein
DB00034	BE0000385	Interferon alpha/beta receptor 2	Human	P48551	IFNAR2	Membrane; single-pass type I membrane protein
DB00035	BE0000293	Vasopressin V2 receptor	Human	P30518	AVPR2	Membrane; multi-pass membrane protein
DB00035	BE0000165	Vasopressin V1a receptor	Human	P37288	AVPR1A	Membrane; multi-pass membrane protein
DB00035	BE0000773	Vasopressin V1b receptor	Human	P47901	AVPR1B	Membrane; multi-pass membrane protein
DB00036	BE0000216	Coagulation factor X	Human	P00742	F10	Cytoplasmic
DB00036	BE0002128	Serine protease hepsin	Human	P05981	HPN	Membrane
DB00036	BE0000967	Tissue factor pathway inhibitor	Human	P10646	TFPI	Secreted protein
DB00036	BE0000403	Vitamin K-dependent gamma-carboxylase	Human	P38435	GGCX	Endoplasmic reticulum; endoplasmic reticulum membrane; multi-pass membrane protein
DB00036	BE0000333	Coagulation factor VII	Human	P08709	F7	Cytoplasmic
DB00036	BE0001178	Tissue factor	Human	P13726	F3	Membrane; single-pass type I membrane protein
DB00038	BE0000416	Interleukin-11 receptor subunit alpha	Human	Q14626	IL11RA	Membrane; single-pass type I membrane protein
DB00039	BE0000748	Fibroblast growth factor receptor 2	Human	P21802	FGFR2	Cell membrane; single-pass type I membrane protein. Isoform 14:Secreted protein. Isoform 19:Secreted
DB00039	BE0002129	Neuropilin-1	Human	O14786	NRP1	Cell membrane
DB00039	BE0002131	Fibroblast growth factor receptor 1	Human	P11362	FGFR1	Membrane
DB00039	BE0001203	Fibroblast growth factor receptor 4	Human	P22455	FGFR4	Membrane; single-pass type I membrane protein
DB00039	BE0002133	Fibroblast growth factor receptor 3	Human	P22607	FGFR3	Membrane
DB00039	BE0001031	Basement membrane-specific heparan sulfate proteoglycan core protein	Human	P98160	HSPG2	Secreted protein; extracellular space
DB00040	BE0000527	Glucagon receptor	Human	P47871	GCGR	Membrane; multi-pass membrane protein
DB00040	BE0002134	Glucagon-like peptide 2 receptor	Human	O95838	GLP2R	Membrane
DB00040	BE0000857	Glucagon-like peptide 1 receptor	Human	P43220	GLP1R	Membrane; multi-pass membrane protein
DB00041	BE0000651	Interleukin-2 receptor subunit beta	Human	P14784	IL2RB	Membrane; single-pass type I membrane protein
DB00041	BE0000658	Interleukin-2 receptor subunit alpha	Human	P01589	IL2RA	Membrane; single-pass type I membrane protein
DB00041	BE0002102	Cytokine receptor common subunit gamma	Human	P31785	IL2RG	Membrane
DB00042	BE0002137	Vesicle-associated membrane protein 2	Human	P63027	VAMP2	Cytoplasmic vesicle
DB00042	BE0002136	Vesicle-associated membrane protein 1	Human	P23763	VAMP1	Cytoplasmic vesicle
DB00042	BE0002138	Synaptotagmin-2	Human	Q8N9I0	SYT2	Cytoplasmic vesicle
DB00043	BE0000015	High affinity immunoglobulin epsilon receptor subunit alpha	Human	P12319	FCER1A	Membrane; single-pass type I membrane protein
DB00043	BE0002139	High affinity immunoglobulin epsilon receptor subunit beta	Human	Q01362	MS4A2	Membrane
DB00044	BE0000134	Lutropin-choriogonadotropic hormone receptor	Human	P22888	LHCGR	Membrane; multi-pass membrane protein
DB00045	BE0001164	Toll-like receptor 2	Human	O60603	TLR2	Membrane; single-pass type I membrane protein
DB00046	BE0000033	Insulin receptor	Human	P06213	INSR	Membrane; single-pass type I membrane protein
DB00046	BE0000858	Insulin-like growth factor 1 receptor	Human	P08069	IGF1R	Membrane; single-pass type I membrane protein
DB00047	BE0000033	Insulin receptor	Human	P06213	INSR	Membrane; single-pass type I membrane protein
DB00047	BE0000858	Insulin-like growth factor 1 receptor	Human	P08069	IGF1R	Membrane; single-pass type I membrane protein
DB00048	BE0000025	Collagen alpha-1(I) chain	Human	P02452	COL1A1	
DB00048	BE0002140	Collagen alpha-1(II) chain	Human	P02458	COL2A1	
DB00048	BE0002130	Collagen alpha-1(III) chain	Human	P02461	COL3A1	
DB00048	BE0002141	Collagen alpha-2(I) chain	Human	P08123	COL1A2	
DB00050	BE0000203	Gonadotropin-releasing hormone receptor	Human	P30968	GNRHR	Membrane; multi-pass membrane protein
DB00050	BE0000134	Lutropin-choriogonadotropic hormone receptor	Human	P22888	LHCGR	Membrane; multi-pass membrane protein
DB00051	BE0000704	Tumor necrosis factor	Human	P01375	TNF	Cell membrane; single-pass type II membrane protein. Processed form:Secreted protein. Also exists as
DB00051	BE0000901	Low affinity immunoglobulin gamma Fc region receptor III-B	Human	O75015	FCGR3B	Cell membrane; lipid-anchor; GPI-anchor. Secreted protein. Note=Secreted after cleavage
DB00051	BE0002093	Complement C1r subcomponent	Human	P00736	C1R	Cytoplasmic
DB00051	BE0002094	Complement C1q subcomponent subunit A	Human	P02745	C1QA	Secreted protein
DB00051	BE0002095	Complement C1q subcomponent subunit B	Human	P02746	C1QB	Secreted protein
DB00051	BE0002096	Complement C1q subcomponent subunit C	Human	P02747	C1QC	Secreted protein
DB00051	BE0002097	Low affinity immunoglobulin gamma Fc region receptor III-A	Human	P08637	FCGR3A	Cell membrane
DB00051	BE0001529	Complement C1s subcomponent	Human	P09871	C1S	Cytoplasmic
DB00051	BE0000710	High affinity immunoglobulin gamma Fc receptor I	Human	P12314	FCGR1A	Membrane; single-pass type I membrane protein
DB00051	BE0002098	Low affinity immunoglobulin gamma Fc region receptor II-a	Human	P12318	FCGR2A	Membrane
DB00051	BE0002099	Low affinity immunoglobulin gamma Fc region receptor II-b	Human	P31994	FCGR2B	Membrane
DB00051	BE0002100	Low affinity immunoglobulin gamma Fc region receptor II-c	Human	P31995	FCGR2C	Cell membrane
DB00052	BE0000075	Growth hormone receptor	Human	P10912	GHR	Cell membrane; single-pass type I membrane protein. GHBP:Secreted protein. On growth hormone binding
DB00052	BE0000345	Prolactin receptor	Human	P16471	PRLR	Membrane; single-pass type I membrane protein
DB00054	BE0001155	Integrin beta-3	Human	P05106	ITGB3	Membrane; single-pass type I membrane protein
DB00054	BE0000439	Integrin alpha-IIb	Human	P08514	ITGA2B	Membrane; single-pass type I membrane protein
DB00054	BE0000901	Low affinity immunoglobulin gamma Fc region receptor III-B	Human	O75015	FCGR3B	Cell membrane; lipid-anchor; GPI-anchor. Secreted protein. Note=Secreted after cleavage
DB00054	BE0002093	Complement C1r subcomponent	Human	P00736	C1R	Cytoplasmic
DB00054	BE0002094	Complement C1q subcomponent subunit A	Human	P02745	C1QA	Secreted protein
DB00054	BE0002095	Complement C1q subcomponent subunit B	Human	P02746	C1QB	Secreted protein
DB00054	BE0002096	Complement C1q subcomponent subunit C	Human	P02747	C1QC	Secreted protein
DB00054	BE0002097	Low affinity immunoglobulin gamma Fc region receptor III-A	Human	P08637	FCGR3A	Cell membrane
DB00054	BE0001529	Complement C1s subcomponent	Human	P09871	C1S	Cytoplasmic
DB00054	BE0000710	High affinity immunoglobulin gamma Fc receptor I	Human	P12314	FCGR1A	Membrane; single-pass type I membrane protein
DB00054	BE0002098	Low affinity immunoglobulin gamma Fc region receptor II-a	Human	P12318	FCGR2A	Membrane
DB00054	BE0002099	Low affinity immunoglobulin gamma Fc region receptor II-b	Human	P31994	FCGR2B	Membrane
DB00054	BE0002100	Low affinity immunoglobulin gamma Fc region receptor II-c	Human	P31995	FCGR2C	Cell membrane
DB00054	BE0001068	Vitronectin	Human	P04004	VTN	Secreted protein; extracellular space
DB00055	BE0000016	Coagulation factor VIII	Human	P00451	F8	Secreted protein; extracellular space
DB00055	BE0000041	Coagulation factor V	Human	P12259	F5	
DB00055	BE0000240	Plasminogen activator inhibitor 1	Human	P05121	SERPINE1	Secreted protein
DB00055	BE0001151	Thrombomodulin	Human	P07204	THBD	Membrane; single-pass type I membrane protein
DB00055	BE0000943	Vitamin K-dependent protein S	Human	P07225	PROS1	Secreted protein
DB00055	BE0001140	Ceruloplasmin	Human	P00450	CP	Secreted protein
DB00055	BE0000048	Prothrombin	Human	P00734	F2	Secreted protein; extracellular space
DB00055	BE0001129	Platelet factor 4	Human	P02776	PF4	Secreted protein
DB00055	BE0002112	Plasma serine protease inhibitor	Human	P05154	SERPINA5	Secreted protein
DB00055	BE0002142	Serpin B6	Human	P35237	SERPINB6	Cytoplasm
DB00055	BE0000403	Vitamin K-dependent gamma-carboxylase	Human	P38435	GGCX	Endoplasmic reticulum; endoplasmic reticulum membrane; multi-pass membrane protein
DB00055	BE0001161	Endothelial protein C receptor	Human	Q9UNN8	PROCR	Membrane; single-pass type I membrane protein
DB00056	BE0000674	Myeloid cell surface antigen CD33	Human	P20138	CD33	Membrane; single-pass type I membrane protein
DB00056	BE0000901	Low affinity immunoglobulin gamma Fc region receptor III-B	Human	O75015	FCGR3B	Cell membrane; lipid-anchor; GPI-anchor. Secreted protein. Note=Secreted after cleavage
DB00056	BE0002093	Complement C1r subcomponent	Human	P00736	C1R	Cytoplasmic
DB00056	BE0002094	Complement C1q subcomponent subunit A	Human	P02745	C1QA	Secreted protein
DB00056	BE0002095	Complement C1q subcomponent subunit B	Human	P02746	C1QB	Secreted protein
DB00056	BE0002096	Complement C1q subcomponent subunit C	Human	P02747	C1QC	Secreted protein
DB00056	BE0002097	Low affinity immunoglobulin gamma Fc region receptor III-A	Human	P08637	FCGR3A	Cell membrane
DB00056	BE0001529	Complement C1s subcomponent	Human	P09871	C1S	Cytoplasmic
DB00056	BE0000710	High affinity immunoglobulin gamma Fc receptor I	Human	P12314	FCGR1A	Membrane; single-pass type I membrane protein
DB00056	BE0002098	Low affinity immunoglobulin gamma Fc region receptor II-a	Human	P12318	FCGR2A	Membrane
DB00056	BE0002099	Low affinity immunoglobulin gamma Fc region receptor II-b	Human	P31994	FCGR2B	Membrane
DB00056	BE0002100	Low affinity immunoglobulin gamma Fc region receptor II-c	Human	P31995	FCGR2C	Cell membrane
DB00058	BE0000394	Neutrophil elastase	Human	P08246	ELANE	Cytoplasmic
DB00060	BE0000661	Interferon alpha/beta receptor 1	Human	P17181	IFNAR1	Membrane; single-pass type I membrane protein
DB00060	BE0000385	Interferon alpha/beta receptor 2	Human	P48551	IFNAR2	Membrane; single-pass type I membrane protein
DB00061	BE0000917	Growth factor receptor-bound protein 2	Human	P62993	GRB2	
DB00062	BE0001119	Apolipoprotein E	Human	P02649	APOE	Secreted protein
DB00062	BE0004795	Serum amyloid A-1 protein	Human	P0DJI8	SAA1	Secreted protein
DB00062	BE0000932	Protein AMBP	Human	P02760	AMBP	Secreted protein
DB00063	BE0001155	Integrin beta-3	Human	P05106	ITGB3	Membrane; single-pass type I membrane protein
DB00064	BE0001119	Apolipoprotein E	Human	P02649	APOE	Secreted protein
DB00064	BE0004795	Serum amyloid A-1 protein	Human	P0DJI8	SAA1	Secreted protein
DB00064	BE0000932	Protein AMBP	Human	P02760	AMBP	Secreted protein
DB00065	BE0000704	Tumor necrosis factor	Human	P01375	TNF	Cell membrane; single-pass type II membrane protein. Processed form:Secreted protein. Also exists as
DB00066	BE0000387	Follicle-stimulating hormone receptor	Human	P23945	FSHR	Membrane; multi-pass membrane protein
DB00067	BE0000293	Vasopressin V2 receptor	Human	P30518	AVPR2	Membrane; multi-pass membrane protein
DB00067	BE0000165	Vasopressin V1a receptor	Human	P37288	AVPR1A	Membrane; multi-pass membrane protein
DB00067	BE0000773	Vasopressin V1b receptor	Human	P47901	AVPR1B	Membrane; multi-pass membrane protein
DB00068	BE0000661	Interferon alpha/beta receptor 1	Human	P17181	IFNAR1	Membrane; single-pass type I membrane protein
DB00068	BE0000385	Interferon alpha/beta receptor 2	Human	P48551	IFNAR2	Membrane; single-pass type I membrane protein
DB00069	BE0000661	Interferon alpha/beta receptor 1	Human	P17181	IFNAR1	Membrane; single-pass type I membrane protein
DB00069	BE0000385	Interferon alpha/beta receptor 2	Human	P48551	IFNAR2	Membrane; single-pass type I membrane protein
DB00070	BE0000984	Transforming growth factor beta-1	Human	P01137	TGFB1	Secreted protein
DB00071	BE0000033	Insulin receptor	Human	P06213	INSR	Membrane; single-pass type I membrane protein
DB00071	BE0000858	Insulin-like growth factor 1 receptor	Human	P08069	IGF1R	Membrane; single-pass type I membrane protein
DB00071	BE0001183	Insulin-degrading enzyme	Human	P14735	IDE	Cytoplasm
DB00071	BE0002122	HLA class II histocompatibility antigen, DQ alpha 2 chain	Human	P01906	HLA-DQA2	Membrane
DB00071	BE0004466	HLA class II histocompatibility antigen, DQ beta 1 chain	Human	P01920	HLA-DQB1	
DB00071	BE0002123	Retinoblastoma-associated protein	Human	P06400	RB1	Nucleus
DB00071	BE0000941	Cathepsin D	Human	P07339	CTSD	Lysosome. Melanosome. Note=Identified by mass spectrometry in melanosome fractions from stage I to s
DB00071	BE0001123	Carboxypeptidase E	Human	P16870	CPE	Secreted protein. Note=Secretory granules of pancreatic islets, adrenal gland, pituitary and brain
DB00071	BE0002124	Neuroendocrine convertase 2	Human	P16519	PCSK2	Cytoplasmic vesicle
DB00071	BE0002125	Neuroendocrine convertase 1	Human	P29120	PCSK1	Cytoplasmic vesicle
DB00071	BE0001147	Protein NOV homolog	Human	P48745	NOV	Secreted protein
DB00071	BE0000942	Low-density lipoprotein receptor-related protein 2	Human	P98164	LRP2	Membrane; single-pass type I membrane protein
DB00071	BE0002126	Insulin-like growth factor-binding protein 7	Human	Q16270	IGFBP7	Secreted protein
DB00071	BE0002127	Synaptotagmin-like protein 4	Human	Q96C24	SYTL4	Membrane
DB00072	BE0000511	Receptor tyrosine-protein kinase erbB-2	Human	P04626	ERBB2	Membrane; single-pass type I membrane protein
